d_val	e_val	j_val	lambda_val	mu_val1	Julia_sum_lq_nFv6	rootstates_lnL_nFv6	Julia_total_lnLs1_nFv6	bgb_lnl_nFv6	Julia_sum_lq_GFv6	rootstates_lnL_GFv6	Julia_total_lnLs1_GFv6	bgb_lnl_GFv6
0.0	0.5	0.1	0.3	0.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.0	0.5	0.1	0.3	0.5	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.0	0.5	0.1	0.3	1.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.0	0.5	1.0	0.3	0.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.0	0.5	1.0	0.3	0.5	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.0	0.5	1.0	0.3	1.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.0	1.0	0.0	0.3	0.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.0	1.0	0.0	0.3	0.5	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.0	1.0	0.0	0.3	1.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.0	1.0	0.1	0.3	0.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.0	1.0	0.1	0.3	0.5	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.0	1.0	0.1	0.3	1.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.0	1.0	1.0	0.3	0.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.0	1.0	1.0	0.3	0.5	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.0	1.0	1.0	0.3	1.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.5	0.0	0.0	0.3	0.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.5	0.0	0.0	0.3	0.5	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.5	0.0	0.0	0.3	1.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.5	0.0	0.1	0.3	0.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.5	0.0	0.1	0.3	0.5	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.5	0.0	0.1	0.3	1.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.5	0.0	1.0	0.3	0.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.5	0.0	1.0	0.3	0.5	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.5	0.0	1.0	0.3	1.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.5	0.5	0.0	0.3	0.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.5	0.5	0.0	0.3	0.5	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.5	0.5	0.0	0.3	1.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.5	0.5	0.1	0.3	0.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.5	0.5	0.1	0.3	0.5	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.5	0.5	0.1	0.3	1.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.5	0.5	1.0	0.3	0.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.5	0.5	1.0	0.3	0.5	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.5	0.5	1.0	0.3	1.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.5	1.0	0.0	0.3	0.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.5	1.0	0.0	0.3	0.5	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.5	1.0	0.0	0.3	1.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.5	1.0	0.1	0.3	0.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.5	1.0	0.1	0.3	0.5	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.5	1.0	0.1	0.3	1.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.5	1.0	1.0	0.3	0.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.5	1.0	1.0	0.3	0.5	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
0.5	1.0	1.0	0.3	1.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
1.0	0.0	0.0	0.3	0.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
1.0	0.0	0.0	0.3	0.5	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
1.0	0.0	0.0	0.3	1.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
1.0	0.0	0.1	0.3	0.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
1.0	0.0	0.1	0.3	0.5	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
1.0	0.0	0.1	0.3	1.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
1.0	0.0	1.0	0.3	0.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
1.0	0.0	1.0	0.3	0.5	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
1.0	0.0	1.0	0.3	1.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
1.0	0.5	0.0	0.3	0.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
1.0	0.5	0.0	0.3	0.5	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
1.0	0.5	0.0	0.3	1.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
1.0	0.5	0.1	0.3	0.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
1.0	0.5	0.1	0.3	0.5	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
1.0	0.5	0.1	0.3	1.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
1.0	0.5	1.0	0.3	0.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
1.0	0.5	1.0	0.3	0.5	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
1.0	0.5	1.0	0.3	1.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
1.0	1.0	0.0	0.3	0.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
1.0	1.0	0.0	0.3	0.5	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
1.0	1.0	0.0	0.3	1.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
1.0	1.0	0.1	0.3	0.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
1.0	1.0	0.1	0.3	0.5	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
1.0	1.0	0.1	0.3	1.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
1.0	1.0	1.0	0.3	0.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
1.0	1.0	1.0	0.3	0.5	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
1.0	1.0	1.0	0.3	1.0	-7.780033846857204	-3.8046659173817323	-11.584699764238938	-6.269812932269777	-7.779971880045302	-3.804655741824533	-11.584627621869835	-6.2697410972488745
